# {"t_start": 1575375206.093287, "env_id": "MobileDualUR5HuskyPickAndPlace-v1"} 
r,l,t
-40.338528,100,2586.655134
-71.315753,100,2589.550976
-61.953541,100,2592.084852
-55.419635,100,2595.114115
-57.953265,100,2598.266422
-69.60508,100,2601.569648
-54.642532,100,2604.813378
-84.609256,100,2607.142992
-1084.660806,100,2609.453366
-57.384717,100,2612.228202
-91.050591,100,2615.237535
-105.534762,100,2618.045809
-1088.304182,100,2620.810433
-88.967841,100,2624.798904
-46.436099,100,2627.369277
-61.660618,100,2630.492284
-80.742466,100,2633.789985
-47.94032,100,2637.146317
-55.866962,100,2640.184976
-1075.098753,100,2642.565718
-63.211861,100,2645.25139
-63.18915,100,2648.133138
-50.82891,100,2651.365932
-58.009682,100,2654.504677
-60.085899,100,2657.376451
-65.421624,100,2659.915164
-91.742034,100,2662.631508
-39.90362,100,2665.655982
-88.949343,100,2668.873782
-105.708151,100,2671.933298
-62.629909,100,2674.859748
-65.701156,100,2677.172361
-91.554269,100,2680.027664
-50.215432,100,2682.997684
-1083.709972,100,2687.034465
-68.637288,100,2690.216206
-68.467867,100,2692.749912
-52.929376,100,2695.343651
-68.845742,100,2698.242751
-99.081854,100,2701.200267
-82.625471,100,2704.558285
-77.596841,100,2707.57011
-68.392859,100,2710.149052
-54.730631,100,2712.663158
-50.755433,100,2715.728467
-51.516998,100,2718.740468
-46.631884,100,2721.945195
-58.268341,100,2725.120279
-95.687227,100,2727.671222
-38.365369,100,2730.303419
-58.242839,100,2733.084628
-75.494666,100,2735.907465
-67.31312,100,2739.20367
-54.924702,100,2742.316176
-39.292706,100,2746.304264
-57.61788,100,2748.973152
-49.997015,100,2751.879203
-68.327449,100,2754.976884
-75.102136,100,2758.21135
-55.790034,100,2761.104089
-104.752849,100,2763.543724
-53.367408,100,2766.452267
-41.521087,100,2769.361748
-63.59641,100,2772.424347
-51.264508,100,2775.585476
-49.871947,100,2778.507892
-72.38274,100,2781.169324
-81.905239,100,2783.67877
-59.844533,100,2786.789702
-71.726926,100,2789.811871
-53.643871,100,2792.899348
-79.100139,100,2795.81303
-83.404199,100,2798.384789
-62.101703,100,2801.32128
-55.206542,100,2804.526107
-75.419221,100,2808.853219
-91.461141,100,2811.632648
-52.631307,100,2814.251894
-88.847612,100,2816.95429
-73.3097,100,2819.879448
-76.407924,100,2823.028092
-51.636978,100,2826.155523
-1076.046583,100,2828.968188
-67.206495,100,2831.562939
-82.000066,100,2834.13728
-80.841939,100,2837.139201
-42.293682,100,2840.22397
-61.781447,100,2843.253978
-107.242898,100,2846.237021
-100.871227,100,2848.55012
-52.355017,100,2851.140774
-72.333105,100,2853.926182
-49.585294,100,2857.224223
-81.219889,100,2860.079558
-76.583888,100,2863.001893
-52.162977,100,2867.150751
-75.849153,100,2869.903307
-91.994689,100,2872.865211
-44.344401,100,2876.057032
-47.882414,100,2879.330079
-89.688381,100,2882.121816
-1084.527656,100,2884.614188
-60.085369,100,2887.491216
-58.848884,100,2890.625798
-59.781738,100,2893.806799
-70.63118,100,2896.787353
-57.449106,100,2899.532777
-48.180968,100,2902.289332
-57.070302,100,2905.417613
-78.173322,100,2908.626409
-68.652363,100,2911.529611
-40.636415,100,2914.4684
-78.040212,100,2916.937879
-46.637545,100,2919.794857
-99.433329,100,2922.506173
-63.212704,100,2925.696595
-65.60435,100,2929.951547
-74.555914,100,2932.602689
-61.215871,100,2935.285968
-64.182262,100,2937.905055
-56.98697,100,2940.894526
-63.629648,100,2944.061593
-82.878118,100,2946.870748
-65.769426,100,2949.592512
-47.032663,100,2952.187828
-196.618542,100,2955.017393
-1076.5434,100,2957.826105
-79.754625,100,2960.845057
-32.626489,100,2964.123602
-72.214588,100,2966.789896
-62.143068,100,2969.353733
-65.02229,100,2971.842324
-45.690333,100,2974.699121
-71.894326,100,2977.709549
-64.742258,100,2980.91352
-50.406024,100,2983.722512
-45.926866,100,2987.658088
-65.006081,100,2990.500798
-60.196381,100,2993.441811
-57.489812,100,2996.486631
-55.643173,100,2999.640326
-72.733607,100,3002.120863
-60.140399,100,3004.86851
-59.339771,100,3007.85695
-69.4712,100,3010.946126
-76.85692,100,3014.122229
-79.544386,100,3017.102874
-49.546402,100,3019.798247
-61.299705,100,3022.592169
-61.103681,100,3025.553689
-52.32594,100,3028.811836
-51.776825,100,3031.97101
-43.681893,100,3035.054928
-51.654021,100,3037.624061
-70.706622,100,3040.433849
-54.626799,100,3043.560921
-61.260386,100,3046.798366
-78.37614,100,3051.172375
-57.732351,100,3053.667331
-87.457355,100,3056.110613
-40.999567,100,3059.219953
-77.608248,100,3062.243346
-49.696225,100,3065.3536
-49.511489,100,3068.572466
-61.671793,100,3071.129797
-48.424534,100,3073.865382
-37.710345,100,3076.751251
-45.23767,100,3079.907659
-46.880404,100,3082.986638
-69.006682,100,3086.01401
-79.163867,100,3088.391982
-61.711399,100,3091.123639
-61.862344,100,3094.045515
-59.206459,100,3097.249044
-83.08682,100,3100.26095
-51.637677,100,3103.282762
-55.879706,100,3105.980867
-69.21933,100,3110.011964
-48.065649,100,3113.214249
-46.914719,100,3116.379206
-88.681782,100,3119.512043
-72.992111,100,3122.049829
-51.596073,100,3124.673128
-1085.350917,100,3127.049699
-67.746544,100,3129.900727
-42.807496,100,3133.287622
-50.167538,100,3136.503685
-44.976038,100,3139.425496
-54.051568,100,3142.028109
-65.829914,100,3144.744729
-53.686079,100,3147.759316
-51.579497,100,3150.840033
-53.928522,100,3153.922502
-55.148248,100,3156.598323
-64.715274,100,3159.157621
-65.68478,100,3161.933256
-45.372329,100,3164.882353
-62.508855,100,3169.355624
-47.645545,100,3172.419528
-1092.192259,100,3174.621093
-71.90322,100,3177.302013
-38.690811,100,3180.362838
-62.696501,100,3183.440823
-1053.24965,100,3186.054167
-1081.228725,100,3188.699486
-41.333614,100,3191.281685
-1080.126559,100,3193.683496
-51.27612,100,3196.686298
-39.889651,100,3200.067223
-81.271163,100,3203.128222
-55.883239,100,3206.296378
-60.657656,100,3208.874357
-75.013509,100,3211.399166
-69.706283,100,3214.322065
-34.791178,100,3217.330432
-39.82521,100,3220.547148
-45.282342,100,3223.711551
-37.913207,100,3226.41979
-52.38906,100,3230.446745
-78.412114,100,3233.504001
-51.354718,100,3236.70966
-72.475534,100,3239.685664
-44.391491,100,3242.326982
-41.814995,100,3245.063382
-72.727946,100,3247.758355
-88.051965,100,3250.935042
-61.817306,100,3253.995546
-88.213485,100,3256.776767
-82.55857,100,3259.419929
-54.010287,100,3262.159835
-49.754332,100,3265.036101
-58.186216,100,3268.164106
-62.087686,100,3271.424791
-49.283708,100,3274.465518
-38.145258,100,3277.442569
-86.352024,100,3280.178569
-47.67991,100,3283.232073
-43.818396,100,3286.196045
-57.495316,100,3290.548558
-59.243727,100,3293.102224
-49.313571,100,3295.914798
-43.145567,100,3298.597313
-43.166238,100,3301.649827
-1102.343627,100,3304.465517
-66.817641,100,3307.551281
-48.004885,100,3310.359295
-56.041346,100,3313.18754
-61.427193,100,3315.888555
-48.459644,100,3318.925176
-40.19153,100,3322.163695
-53.808224,100,3325.201357
-58.538761,100,3327.963071
-76.104156,100,3330.46672
-67.069432,100,3333.326237
-56.983287,100,3336.48515
-54.573472,100,3339.625361
-58.748649,100,3342.499743
-57.503013,100,3345.003187
-83.993407,100,3347.446641
-66.542973,100,3352.006693
-59.386963,100,3355.124847
-43.94232,100,3358.165162
-38.087144,100,3360.862751
-53.344526,100,3363.496718
-89.60679,100,3366.459088
-65.516095,100,3369.561883
-55.30511,100,3372.832595
-55.948954,100,3375.803787
-57.241198,100,3378.482131
-56.676428,100,3381.173639
-63.403918,100,3384.094429
-45.394327,100,3387.142952
-49.431292,100,3390.573045
-52.396896,100,3393.74712
-49.463828,100,3396.624593
-45.154907,100,3399.666513
-43.460617,100,3402.901392
-55.898982,100,3406.072052
-49.806841,100,3409.14751
-50.163351,100,3413.212919
-48.058966,100,3415.959859
-47.632797,100,3418.997084
-60.439595,100,3422.127404
-59.969011,100,3425.296125
-50.085576,100,3428.343193
-54.348247,100,3431.17328
-51.157349,100,3434.137203
-55.427045,100,3437.109663
-51.420072,100,3440.116677
-46.716,100,3443.190275
-55.213918,100,3445.991116
-210.585448,100,3448.775413
-59.831993,100,3451.41269
-43.838627,100,3454.494869
-44.775658,100,3457.804777
-52.306616,100,3460.755182
-47.043664,100,3463.709593
-74.894396,100,3466.482822
-70.263163,100,3469.264839
-63.275102,100,3472.494167
-47.119167,100,3476.962756
-51.840119,100,3479.819004
-70.390406,100,3482.382833
-54.97071,100,3485.289119
-76.863533,100,3488.35107
-52.845286,100,3491.690089
-54.151328,100,3494.79071
-37.057729,100,3497.544551
-61.162133,100,3500.21911
-60.683687,100,3502.953284
-69.375739,100,3505.929677
-62.687983,100,3509.150869
-57.302779,100,3512.232435
-51.289945,100,3514.855969
-61.327287,100,3517.714808
-41.240902,100,3520.563585
-57.909985,100,3523.754821
-58.658775,100,3526.934447
-75.028602,100,3529.85421
-69.1269,100,3532.468997
-46.503294,100,3536.797456
-53.405407,100,3539.938074
-71.155728,100,3543.106449
-54.589936,100,3546.30793
-60.473512,100,3548.912426
-65.771389,100,3551.694131
-73.29579,100,3554.382307
-52.633848,100,3557.399054
-45.672916,100,3560.412613
-1103.955217,100,3563.456925
-52.33539,100,3566.131011
-66.743133,100,3568.807491
-51.919937,100,3571.689449
-45.894608,100,3575.014203
-61.427532,100,3578.141543
-60.255522,100,3581.23801
-43.990736,100,3583.931045
-63.679146,100,3586.520591
-41.423873,100,3589.497115
-62.844003,100,3592.5816
-44.640327,100,3595.807711
-1077.361666,100,3599.31653
-60.266704,100,3602.053118
-54.470984,100,3604.789939
-67.375699,100,3607.861863
-66.296838,100,3610.994501
-70.175533,100,3614.046623
-53.643115,100,3616.975339
-53.741192,100,3619.565582
-55.659095,100,3622.474818
-70.609141,100,3625.491773
-64.388133,100,3628.577971
-50.411367,100,3631.769923
-1075.579951,100,3634.041319
-67.280362,100,3636.774046
-42.962003,100,3639.571994
-57.050031,100,3642.54925
-58.570323,100,3645.648621
-76.144961,100,3648.766544
-59.886338,100,3651.370774
-54.300323,100,3654.073042
-55.485287,100,3658.263968
-54.782352,100,3661.451606
-60.262954,100,3664.662183
-46.986074,100,3667.482655
-62.800261,100,3670.061294
-53.269022,100,3673.022764
-57.872754,100,3676.146755
-65.420209,100,3679.226908
-71.795174,100,3682.284371
-62.351037,100,3684.974742
-70.265888,100,3687.640318
-46.859847,100,3690.503671
-42.702854,100,3693.611792
-59.065254,100,3696.664862
-44.984505,100,3699.787829
-45.164063,100,3702.270461
-61.651179,100,3704.825292
-63.108457,100,3707.810318
-67.794376,100,3710.988006
-55.15994,100,3713.97702
-45.997427,100,3717.099702
-47.383933,100,3720.751311
-43.585943,100,3723.676348
-50.742116,100,3726.491929
-64.642672,100,3729.631942
-64.429237,100,3732.709046
-55.381471,100,3735.472428
-63.178255,100,3737.886944
-42.28075,100,3740.824097
-56.704085,100,3743.723336
-54.239896,100,3746.699481
