# {"env_id": "MobileDualUR5HuskyPickAndPlaceGym-v1", "t_start": 1575578546.9829633} 
r,l,t
-49.944585,100,1523.982554
-51.561558,100,1525.68345
-1089.158932,100,1527.201895
-63.485723,100,1528.856326
-60.270329,100,1530.478381
-48.398718,100,1532.161821
-50.971199,100,1533.836949
-61.264847,100,1535.552334
-64.542108,100,1537.246669
-103.791435,100,1538.890119
-45.357629,100,1540.527897
-98.658145,100,1542.184643
-112.405395,100,1543.896495
-59.157691,100,1545.610422
-63.41248,100,1547.261668
-101.691915,100,1548.976339
-52.353237,100,1550.71243
-1099.693485,100,1552.677583
-72.263497,100,1554.301986
-69.491994,100,1555.95318
-55.252794,100,1557.71211
-65.342719,100,1559.374851
-108.410783,100,1561.015839
13.014423,100,1562.804361
-89.494243,100,1564.415172
-62.766963,100,1565.973825
-55.30057,100,1567.564244
-50.199928,100,1569.299591
-47.411501,100,1570.907705
-43.096788,100,1572.657604
-65.712909,100,1574.276991
-101.383988,100,1575.833924
-29.704013,100,1577.505341
-51.521973,100,1579.121619
-82.805388,100,1580.67991
-43.951398,100,1582.421989
-48.176351,100,1584.031552
-44.393017,100,1586.262865
-48.531177,100,1587.99691
-48.915844,100,1589.632908
-63.132247,100,1591.314029
-65.353997,100,1592.975741
-50.198939,100,1594.62128
-113.981422,100,1596.350465
-50.42329,100,1598.06294
-44.03694,100,1599.761142
-67.831863,100,1601.407711
-53.525122,100,1603.078899
-46.433992,100,1604.710574
-72.629014,100,1606.401588
-86.596645,100,1607.995222
-50.237974,100,1609.763564
-60.341663,100,1611.394161
-39.506929,100,1613.083345
-70.966077,100,1614.808786
-76.270914,100,1616.449731
-58.513942,100,1618.171291
-51.13296,100,1619.90996
-74.092483,100,1622.087468
-93.354664,100,1623.715864
-45.506699,100,1625.369941
-92.699049,100,1626.889661
-85.959999,100,1628.577956
-71.836741,100,1630.238571
-43.205745,100,1631.875802
-1096.63851,100,1633.308916
-57.049362,100,1634.952944
-81.426308,100,1636.556133
-76.324046,100,1638.276911
-36.038708,100,1639.929598
-50.969653,100,1641.5529
-117.427488,100,1643.090207
-113.355724,100,1644.696915
-43.397441,100,1646.333763
-52.664085,100,1647.964287
-49.958779,100,1649.692852
-85.14182,100,1651.211855
-69.770798,100,1652.862833
-46.131692,100,1655.136756
-70.907546,100,1656.783293
-96.080456,100,1658.357905
-38.636995,100,1660.022063
-43.302572,100,1661.755198
-95.721905,100,1663.4963
-1095.767702,100,1664.864402
-52.764987,100,1666.540601
-48.293121,100,1668.213376
-48.997506,100,1669.949712
-74.236356,100,1671.662515
-218.124323,100,1673.279574
-41.330304,100,1674.968066
-47.737642,100,1676.679108
-68.652639,100,1678.403993
-64.333256,100,1680.005765
-38.908548,100,1681.673941
-81.204953,100,1683.317642
-44.284409,100,1684.977008
-105.144085,100,1686.55595
-57.592185,100,1688.231076
-60.182772,100,1690.369384
-64.004299,100,1692.032217
-62.066157,100,1693.610738
-65.228927,100,1695.25107
-48.622185,100,1696.890508
-55.863758,100,1698.594138
-82.41889,100,1700.188939
-64.686502,100,1701.865171
-40.990655,100,1703.479597
-91.620273,100,1705.215874
-1093.331905,100,1706.671763
-76.726452,100,1708.340138
-33.890189,100,1710.075298
-65.791955,100,1711.708217
-56.263791,100,1713.422202
-71.868446,100,1715.057716
-43.711162,100,1716.667984
-67.66016,100,1718.314568
-57.617561,100,1720.028538
-47.421849,100,1721.665367
-45.220627,100,1723.891532
-58.154353,100,1725.517055
-52.268412,100,1727.067204
-54.040616,100,1728.659258
-50.25519,100,1730.461912
-63.470178,100,1732.136774
-52.433266,100,1733.818807
-71.592882,100,1735.497538
-65.874743,100,1737.20173
-74.009079,100,1738.893282
-85.774721,100,1740.56357
-45.351715,100,1742.353503
-52.578445,100,1743.982243
-58.440648,100,1745.668069
-53.871787,100,1747.355926
-50.31445,100,1748.983213
-35.073582,100,1750.736207
-49.240806,100,1752.396924
